[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; e.g. TCGA-OV, etc.
avg_percent_tumor_nuclei: FLOAT | The average percentage of tumor nuclei in a sample or specimen
num_portions: NUMBER | In some cases, a sample was divided into multiple portions -- up to 6 portions, but for most samples the number is 1 (or even 0).
days_to_collection: FLOAT | Time interval from the date of biospecimen collection to the date of initial pathologic diagnosis, represented as a calculated number of days.
case_gdc_id: TEXT | GDC unique identifer for this case; e.g. 7b4ce492-ff40-4bf1-b3e8-75ff83e8746d. This identifier can be used to find more information at the GDC Data Portal ( https://portal.gdc.cancer.gov/cases/7b4ce492-ff40-4bf1-b3e8-75ff83e8746d )
max_percent_monocyte_infiltration: FLOAT | The maximum percentage of infiltration by monocytes in a sample or specimen
avg_percent_tumor_cells: FLOAT | The average percentage of tumor cells in a sample or specimen
sample_type: TEXT | Two-digit sample_type code which forms part of the sample barcode e.g. 01,11,06, etc.
bcr: TEXT | Biospecimen Core Resource; e.g. Nationwide Children's Hospital, Washington University
days_to_sample_procurement: FLOAT | The number of days from the date the patient was diagnosed to the date of the procedure that produced the sample.
max_percent_necrosis: FLOAT | The maximum percentage of necrosis in a sample or specimen
max_percent_tumor_nuclei: FLOAT | The maximum percentage of tumor nuclei in a sample or specimen
min_percent_monocyte_infiltration: FLOAT | The minimum percentage of infiltration by lymphocytes in a sample or specimen
program_name: TEXT | Program Name, always TCGA (The Cancer Genome Atlas) in this table.
avg_percent_lymphocyte_infiltration: FLOAT | The average percentage of infiltration by lymphocytes in a sample or specimen
min_percent_tumor_nuclei: FLOAT | The minimum percentage of tumor nuclei in a sample or specimen
max_percent_tumor_cells: FLOAT | The maximum percentage of tumor cells in a sample or specimen
batch_number: NUMBER | The BCR Batch Code; see https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/bcr-batch-codes for explanation of the codes
avg_percent_necrosis: FLOAT | The average percentage of necrosis in a sample or specimen
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
max_percent_lymphocyte_infiltration: FLOAT | The maximum percentage of infiltration by lymphocytes in a sample or specimen
sample_barcode: TEXT | TCGA sample_barcode; e.g. TCGA-AB-2809-03A.
max_percent_normal_cells: FLOAT | The maximum percentage of normal cells in a sample or specimen
is_ffpe: TEXT | Indicator to signify whether or not the tissue sample was fixed in formalin and embedded in paraffin (FFPE); almost always NO -- only a few (99) FFPE samples were included in the TCGA project
avg_percent_stromal_cells: FLOAT | The average percentage of stromal cells in a sample or specimen
min_percent_lymphocyte_infiltration: FLOAT | The minimum percentage of infiltration by lymphocytes in a sample or specimen
min_percent_necrosis: FLOAT | The minimum percentage of necrosis in a sample or specimen
max_percent_stromal_cells: FLOAT | The maximum percentage of stromal cells in a sample or specimen
min_percent_neutrophil_infiltration: FLOAT | The minimum percentage of neutrophil infiltration in a sample or specimen
sample_type_name: TEXT | The longer name of the sample type; e.g. Primary Tumor, Recurrent Tumor, etc.
min_percent_tumor_cells: FLOAT | The minimum percentage of tumor cells in a sample or specimen
min_percent_stromal_cells: FLOAT | The minimum percentage of stromal cells in a sample or specimen
avg_percent_neutrophil_infiltration: FLOAT | The average percentage of neutrophil infiltration in a sample or specimen
min_percent_normal_cells: FLOAT | The minimum percentage of normal cells in a sample or specimen
avg_percent_normal_cells: FLOAT | The average percentage of normal cells in a sample or specimen
max_percent_neutrophil_infiltration: FLOAT | The maximum percentage of neutrophil infiltration in a sample or specimen

## TCGA_VERSIONED.DNA_METHYLATION_CHR8_HG38_GDC_2017_01
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
probe_id: TEXT | Unique ID for the array probe associated with a CpG site
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-24
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba32
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba39
beta_value: FLOAT | Represents the ratio between the methylated array intensity and total array intensity, falls between 0 (lower levels of methylation) and 1 (higher levels of methylation)

## TCGA_VERSIONED.DNA_METHYLATION_CHR8_HG19_GDC_2017_01
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe

## TCGA_VERSIONED.DNA_METHYLATION_CHR9_HG19_GDC_2017_01
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_OVARIAN_PNNL_PDC_V1_17
locus: TEXT | Gene cytoband, sourced by PDC from NCBI
authority: TEXT | Designating authority for the gene id
assays: TEXT | CPTAC Assay accessions for the peptides associated with the gene
chromosome: TEXT | NCBI gene chromosome
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
uniprotkb_id: TEXT | Oldest UniProt id found in 'proteins' column list, derived programmatically
aliquot_run_metadata_id: TEXT | Uniquely identifies the aliquot by how it was used in the experiment (based on the labelling reagent and/or biological replicate)
gene_id: TEXT | Unique gene identifier assigned by PDC
NCBI_gene_id: TEXT | NCBI gene identifier
uniprotkb_ids: TEXT | Every UniProt id found in 'proteins' column list
study_name: TEXT | Name of the study (e.g. Pediatric Brain Cancer Pilot Study - Phosphoproteome)
authority_gene_id: TEXT | Unique identifier assigned by authority (e.g. HGNC)
aliquot_submitter_id: TEXT | Aliquot submitter id assigned by program (e.g. T14)
gene_description: TEXT | Description of the gene, sourced by PDC from NCBI
aliquot_id: TEXT | Unique PDC identifier for this aliquot (e.g. e8db124a-693a-11ea-b1fd-0aad30af8a83)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
protein_abundance_log2ratio: TEXT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample
organism: TEXT | Gene organism, sourced by PDC from NCBI
gene_symbol: TEXT | Gene symbol, sourced by PDC from NCBI
proteins: TEXT | Semi-colon separated list of protein accessions associated with the gene; includes identifiers from multiple sources (e.g. UniProt, NCBI RefSeq database)

## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG19_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.

## TCGA_VERSIONED.DNA_METHYLATION_CHR7_HG38_GDC_2017_01
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba38
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
beta_value: FLOAT | Represents the ratio between the methylated array intensity and total array intensity, falls between 0 (lower levels of methylation) and 1 (higher levels of methylation)
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-23
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
probe_id: TEXT | Unique ID for the array probe associated with a CpG site
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba31
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal

## TCGA_VERSIONED.DNA_METHYLATION_CHR1_HG19_GDC_2017_01
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries

## TCGA_VERSIONED.CLINICAL_GDC_2019_06
menopause_status: TEXT | A female participant's menopausal status; e.g. Post, Pre, Indeterminate, Peri
lymphnodes_examined: TEXT | Indicator whether the lymph nodes were examined; e.g. Yes, No
histological_type: TEXT | The histological type of cancer; e.g. Adenosquamous, Astrocytoma, etc.
bmi: FLOAT | Body Mass Index of participant
tobacco_smoking_history: NUMBER | Category describing current smoking status and smoking history as self-reported by a participant.; e.g. 1, 2, etc.
height: NUMBER | Height of participant in centimeters
clinical_stage: TEXT | The stage of the cancer, based on results of tests done before surgery, such as physical exams and imaging scans; e.g. Stage I, Stage II, Stage III, Stage IV
age_began_smoking_in_years: TEXT | Age, in years, that the participant began smoking
case_gdc_id: TEXT | GDC unique identifer for this case; e.g. 7b4ce492-ff40-4bf1-b3e8-75ff83e8746d. This identifier can be used to find more information at the GDC Data Portal ( https://portal.gdc.cancer.gov/cases/7b4ce492-ff40-4bf1-b3e8-75ff83e8746d )
neoplasm_histologic_grade: TEXT | Rating which expresses the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness; e.g. G1, G2, G3, G4
days_to_last_followup: NUMBER | If vital_status indicates 'alive', then this is the number of days from the date of diagnosis to the last followup (communication contact).
residual_tumor: TEXT | Status of the tissue margin following surgical resection; e.g. R0, R1, R2, RX
clinical_M: TEXT | The clinical M score is a rating of metastasis, that is, how much cancer has spread to distant sites. It is based on results of tests done before surgery, such as physical exams and imaging scans; e.g. MX, M0, M1
days_to_submitted_specimen_dx: TEXT | Numeric value to represent the day of the diagnosis for the submitted sample.
new_tumor_event_after_initial_treatment: BOOLEAN | Indicates whether a patient has had a new tumor event after initial treatment; Yes, No
lymphatic_invasion: TEXT | Indicator if small or thin-walled vessel invasion is present, indicating lymphatic involvement; e.g. Yes, No
venous_invasion: TEXT | Indicator if large vessel or venous invasion was detected by surgery or presence in a tumor specimen; e.g. Yes, No
number_pack_years_smoked: NUMBER | The number of packs smoked per day times the number of years smoked by the participant
vital_status: TEXT | Survival state of the participant; e.g. dead, alive
days_to_birth: NUMBER | Days since birth (a negative value, relative to the date of diagnosis which is considered to be t=0)
days_to_last_known_alive: NUMBER | Number of days from the date of diagnosis to the last day on which a person was known to be alive. This field is a combination of the days_to_last_followup and days_to death fields. Therefore, this field can be used whether the vital_status is 'alive' or 'dead'.
h_pylori_infection: TEXT | Indicator of previous or current diagnosis of Helicobactor pylori infection; e.g. Yes, No, Never, Current
batch_number: NUMBER | The BCR Batch Code; see https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/bcr-batch-codes for explanation of the codes
disease_code: TEXT | A code representing the type of cancer. Values can be found at https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/TCGA-study-abbreviations; e.g. OV, GBM, LUAD
stopped_smoking_year: NUMBER | Four-digit year that the participant stopped smoking; e.g. 2010
year_of_tobacco_smoking_onset: NUMBER | Four-digit year that the participant started smoking; e.g. 2010
number_of_lymphnodes_examined: NUMBER | The number of lymph nodes examined
colorectal_cancer: TEXT | Indicates whether the participant has colorectal cancer; e.g. Yes, No
anatomic_neoplasm_subdivision: TEXT | The spatial location, subdivisions and/or atomic site name of a tumor; e.g. Rectum, Larynx, Tonsil, etc.
other_dx: TEXT | Indicator and type of other diagnosis; e.g. No; Yes, History of Prior Malignancy; Yes, History of Synchronous/Bilateral Malignancy; Both History of Synchronous/Bilateral and Prior Malignancy
gleason_score_combined: TEXT | The Gleason Score (ranging from 1 -5) is the grade of the aggressiveness of prostate cancer. The combined Gleason Score is the primary Gleason score  (for the largest area of the tumor) added to the secondary Gleason Score (for the next largest section of the tumor).
history_of_colon_polyps: TEXT | Indicator if the participant had a previous history of colon polyps as noted in the history/physical or previous endoscopic report(s); e.g. Yes, No
icd_10: TEXT | Alphanumeric value used to describe the disease code from the tenth version of the International Classification of Disease (ICD-10)
other_malignancy_type: TEXT | Indicates whether another malignancy occurred before or at the same time; e.g. Prior Malignancy, Synchronous Malignancy
ethnicity: TEXT | The ethnic origination of a participant, independent from race; eg. Not Hispanic or Latino, Hispanic or Latino
days_to_death: NUMBER | If vital_status indicates 'dead', then this is the number of days to death (a positive value) relative to the date of diagnosis.
pathologic_N: TEXT | The pathologic N score is a rating of the extent of cancer within nearby lymph nodes, based on surgery or biopsy; e.g. N1, N2, N3
program_name: TEXT | Program Name, always TCGA (The Cancer Genome Atlas) in this table.
race: TEXT | The race of a participant, independent from ethnicity; e.g. White, Black or African American, Asian, Native Hawaiian or other Pacific Islander, American Indian or Alaska Native
lymphovascular_invasion_present: TEXT | Indicator if  invasion of a cancer to the blood vessels and/or lymphatics invasion is present; e.g. Yes, No
psa_value: TEXT | A male participant's Prostrate-Specific Antigen (PSA) value
weight: NUMBER | Weight of participant in kilograms
tss_code: TEXT | Tissue Source Site Code; see https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/tissue-source-site-codes for explanation of codes
clinical_N: TEXT | The clinical N score is a rating of the extent of cancer within nearby lymph nodes, based on results of tests done before surgery, such as physical exams and imaging scans; e.g. N1, N2, N3
pathologic_stage: TEXT | The stage of the cancer, based on surgery or biopsy; e.g. Stage I, Stage II, Stage III, Stage IV
mononucleotide_and_dinucleotide_marker_panel_analysis_status: TEXT | Status of the mononucleotide and dinucleotide marker panel analysis; microsatellite-stable (MSS), low level MSI (MSI-L) if less than 40% of markers were altered and high level MSI (MSI-H) if greater than 40% of markers were altered
country: TEXT | Country of the participant; e.g. Germany, United States, Canada, etc.
tumor_tissue_site: TEXT | The location on the body where the tumor exists; e.g. Brain, Ovary, Lung, etc.
pregnancies: TEXT | The number of times (including currently if it applies) that a female participant has been pregnant, regardless of outcome.
primary_neoplasm_melanoma_dx: TEXT | Indicates whether a person had a primary diagnosis of melanoma; e.g. Yes, No
other_malignancy_histological_type: TEXT | The histological type of cancer of the other malignancy; e.g. Adenosquamous, Astrocytoma, etc.
case_barcode: TEXT | TCGA patient/case barcode; e.g. TCGA-06-0119
age_at_diagnosis: NUMBER | Age, in years, at which a condition or disease was first diagnosed
icd_o_3_histology: TEXT | Code that represents the histology of the disease using the third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; e.g. TCGA-OV, etc.
icd_o_3_site: TEXT | Code that represents the site of the disease using the third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms
year_of_diagnosis: NUMBER | Four digit year of the diagnosis
primary_therapy_outcome_success: TEXT | Kind of outcome achieved after the completion of the initial course of treatment; e.g. Complete Remission/Response, Progressive Disease, etc.
pathologic_M: TEXT | The pathologic M score is a rating of metastasis, that is, how much cancer has spread to distant sites. It is based on surgery or biopsy; e.g. MX, M0, M1
gender: TEXT | Participant gender; e.g. Male, Female
other_malignancy_anatomic_site: TEXT | The site on the body where the other malignancy occurred; e.g. Bladder, Uterus, etc.
history_of_neoadjuvant_treatment: TEXT | Describes the patient's history of neoadjuvant treatment and the kind of treament given prior to resection of the tumor; e.g. Yes, Pharmaceutical Treatment Prior to Resection, etc.
hpv_calls: TEXT | HPV strains; e.g. HPV18, HPV45, etc.
pathologic_T: TEXT | The pathologic T score is a rating of the extent of the primary tumor, based on surgery or biopsy; e.g. T1, T2, T3, T4
person_neoplasm_cancer_status: TEXT | The participant's cancer status; e.g. With Tumor, Tumor Free
days_to_initial_pathologic_diagnosis: NUMBER | The number of days to initial pathologic diagnosis
hpv_status: TEXT | Indicates whether the participant has a record of a positive finding for human papillomavirus; e.g. Positive, Negative, Indeterminate
number_of_lymphnodes_positive_by_he: TEXT | The number of lymph nodes involved with disease as determined by histological examination
bcr: TEXT | Biospecimen Core Resource; e.g. Nationwide Children's Hospital, Washington University
tumor_type: TEXT | Tumor Type; e.g. Primary, Type 1, Type 2
clinical_T: TEXT | The clinical T score is a rating of the extent of the primary tumor, based on results of tests done before surgery, such as physical exams and imaging scans; e.g. T1, T2, T3, T4

## TCGA_VERSIONED.MIRNASEQ_HG19_GDC_2017_03
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_gdc_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode), eg 6d10d4ee-6331-4bba-93bc-a7b64cc0b22a  --  this can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/cases/6d10d4ee-6331-4bba-93bc-a7b64cc0b22a
cross_mapped: TEXT | A short isomiR read may map exactly to mature strands whose sequences are similar but not identical, when the read sequence does not capture the bases that distinguish these miRNAs (e.g. hsa-mir-30a at 6q13 and hsa-mir-30e at 1p34.2, which differ at position 18). We report such a <line_feed> read as cross-mapped, and we increment the read count for each MIMAT that it mapped to. Either Y or N -- fewer than 2% are Y
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
reads_per_million_miRNA_mapped: FLOAT | Read count normalized by total reads mapped divided by 1 million
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
read_count: NUMBER | Number of reads that were mapped to this mirna_id
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
mirna_id: TEXT | One of 1870 unique miRNA ids (aka symbols) contained in this table, eg hsa-mir-21  --  relevant reference information can be found in the isb-cgc:genome_reference dataset in the tables miRBase_v20 and miRBase_v20_hsa_gff3
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba17

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_OVARIAN_JHU_PDC_2020_09
organism: TEXT | species investigated in the study (e.g Homo sapiens)
description: TEXT | Gene description
uniprotkb_ids: TEXT | List of all UniProt accession numbers associated with this gene
uniprotkb_id: TEXT | Oldest Swiss-Prot ID associated with this gene, if available; otherwise, oldest UniProt ID
proteins: TEXT | Semi-colon separated list of protein accessions associated with the gene
assays: TEXT | CPTAC Assay accessions for the peptides associated with the gene
study_name: TEXT | Name of the study (e.g. Pediatric Brain Cancer Pilot Study - Phosphoproteome)
protein_abundance_log2ratio: FLOAT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample
authority_gene_id: TEXT | HGNC Identifier (e.g. 11186)
locus: TEXT | Cytogenetic coordinates (e.g.2q37)
gene_id: TEXT | UUID for the gene name (e.g. looks like fa986b85-b814-11e8-907f-0a2705229b82)
NCBI_gene_id: TEXT | NCBI Gene Identifier (numeric designation e.g. 6272)
aliquot_run_metadata_id: TEXT | Uniquely identifies the aliquot by how it was used in the experiment (based on the labelling reagent and/or biological replicate)
aliquot_submitter_id: TEXT | Unique source id provided by the data submitter (e.g. looks like e5e1306b-719e-4c3e-b85b-fd1231_D2)
gene_symbol: TEXT | Gene name (e.g. SORT1)
case_id: TEXT | Unique PDC identifier associated with the patient (e.g. looks like 24cb0fcb-63d6-11e8-bcf1-0a2705229b82 )
authority: TEXT | The authority by which the designated gene names are derived-- from HUGO Gene Nomenclature Committee (HGNC), a resource for approved human gene nomenclature
aliquot_id: TEXT | Unique PDC identifier associated with the aliquot (e.g. looks like 1c6638dc-d028-11ea-b1fd-0aad30af8a83)
chromosome: TEXT | Chromosome
sample_id: TEXT | Unique PDC identifier associated with the sample (e.g. looks like 1c64cd8f-d028-11ea-b1fd-0aad30af8a83)

## TCGA_VERSIONED.CLINICAL_DIAGNOSES_TREATMENTS_GDC_R29
diag__treat__treatment_type: TEXT | Text term that describes the kind of treatment administered.
diag__treat__updated_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__treat__treatment_or_therapy: TEXT | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received.
diag__treat__treatment_id: TEXT | GDC-assigned identifier for a case's treatment data.
diag__treat__created_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__treat__state: TEXT | The current state of the object.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.

## TCGA_VERSIONED.QUANT_PHOSPHOPROTEOME_TCGA_OVARIAN_PNNL_VELOS_QEXACTIVE_PDC_V1_21
phosphorylation_sites: TEXT | Single letter codes and protein sequence positions of the phosphorylated amino acids (e.g. t304s310, t59)
refseq_id: TEXT | Unique identifier given to a sequence in the NCBI RefSeq database
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
aliquot_id: TEXT | Unique PDC identifier for this aliquot (e.g. e8db124a-693a-11ea-b1fd-0aad30af8a83)
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
protein_abundance_log2ratio: FLOAT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample
aliquot_submitter_id: TEXT | Aliquot submitter id assigned by program (e.g. T14)
aliquot_run_metadata_id: TEXT | Uniquely identifies the aliquot by how it was used in the experiment (based on the labelling reagent and/or biological replicate)
study_name: TEXT | Name of the study (e.g. Pediatric Brain Cancer Pilot Study - Phosphoproteome)

## TCGA_VERSIONED.DNA_METHYLATION_CHR6_HG38_GDC_2017_01
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
beta_value: FLOAT | Represents the ratio between the methylated array intensity and total array intensity, falls between 0 (lower levels of methylation) and 1 (higher levels of methylation)
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
probe_id: TEXT | Unique ID for the array probe associated with a CpG site
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-22
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba37
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
