[COMPONENTS]
@C1
demo__age_at_index: NUMBER | The patient's age (in years) on the reference or anchor date date used during date obfuscation.
@use: [C13]
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba22
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-14
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba29
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R30
@use: [C3, C9]
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
program_name: TEXT | Program name, eg TCGA or TARGET
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
platform: TEXT | Platform used to generate data (null, Illumina)
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R37
@use: [C3, C9]
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
platform: TEXT | Platform used to generate data (null, Illumina)
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
program_name: TEXT | Program name, eg TCGA or TARGET

## TCGA_VERSIONED.MASKED_SOMATIC_MUTATION_HG38_GDC_R36
@use: [C14, C19, C2, C22, C4, C6, C8]
case_barcode: TEXT | Original case barcode, eg TCGA-DX-A8BN
Sequence_Source: TEXT | Molecular assay type used to produce the analytes used for sequencing. Allowed values are a subset of the SRA 1.5 library_strategy field values. This subset matches those used at CGHub
primary_site: TEXT | Anatomical site of the cancer under investigation or review
TRANSCRIPT_STRAND: TEXT | The DNA strand (1 or -1) on which the transcript/feature lies
Validation_Status: TEXT | Second pass results from orthogonal technology
Strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
One_Consequence: TEXT | The single consequence of the canonical transcript in  sequence ontology terms, eg missense_variant
case_id: TEXT | Unique GDC identifier for the underlying case
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
file_gdc_id: TEXT | |-delimited list of unique GDC identifiers for underlying MAF file
Chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG19_GDC_R27
@use: [C3, C9]
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
program_name: TEXT | Program name, eg TCGA or TARGET
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
platform: TEXT | Platform used to generate data (null, Illumina)
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A

## TCGA_VERSIONED.DNA_METHYLATION_CHRY_HG38_GDC_2017_01
@use: [C13]
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-27
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba35
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba42

## TCGA_VERSIONED.CLINICAL_DIAGNOSES_TREATMENTS_GDC_R26
@use: [C26, C34]
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
diag__treat__treatment_or_therapy: TEXT | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received.
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R26
@use: [C3, C9]
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
program_name: TEXT | Program name, eg TCGA or TARGET
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
platform: TEXT | Platform used to generate data (null, Illumina)
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_OVARIAN_PNNL_PDC_V1_21
@use: [C11, C5]
chromosome: TEXT | NCBI gene chromosome
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
gene_description: TEXT | Description of the gene, sourced by PDC from NCBI
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
protein_abundance_log2ratio: FLOAT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample

## TCGA_VERSIONED.DNA_METHYLATION_CHR12_HG19_GDC_2017_01
@use: [C13]
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
project_short_name: TEXT | Abbreviated form of the project name; eg. TCGA-BRCA (there are 33 unique projects within the TCGA program)

## TCGA_VERSIONED.COPY_NUMBER_SEGMENT_ALLELIC_HG38_GDC_R23
@use: [C29]
primary_site: TEXT | Anatomical site of the cancer under investigation or review
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba10
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
copy_number: NUMBER | The sum of the Major and Minor Copy Numbers
major_copy_number: NUMBER | The Copy Number of the more prevalent allele set in the dataset for the genomic region
aliquot_barcode: TEXT | aliquot barcode, eg TCGA-12-1089-01A-01D-0517-02
minor_copy_number: NUMBER | The Copy Number of the less prevalent allele set in the dataset for the genomic region
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba17
sample_barcode: TEXT | sample barcode, eg TCGA-12-1089-01A
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; e.g. TCGA-OV, etc.
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal

## TCGA_VERSIONED.QUANT_PHOSPHOPROTEOME_TCGA_BREAST_CANCER_PDC_V1_21
@use: [C11, C35]
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
protein_abundance_log2ratio: FLOAT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R31
@use: [C3, C9]
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
platform: TEXT | Platform used to generate data (null, Illumina)
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
program_name: TEXT | Program name, eg TCGA or TARGET
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal

## TCGA_VERSIONED.QUANT_PHOSPHOPROTEOME_TCGA_BREAST_CANCER_PDC_V1_17
@use: [C11, C35]
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
protein_abundance_log2ratio: TEXT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)

## TCGA_VERSIONED.DNA_METHYLATION_CHR12_HG38_GDC_2017_01
@use: [C13]
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba15
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-07
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba22

## TCGA_VERSIONED.DNA_METHYLATION_CHR7_HG19_GDC_2017_01
@use: [C13]
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A

## TCGA_VERSIONED.DNA_METHYLATION_CHR15_HG38_GDC_2017_01
@use: [C13]
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-10
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba25
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba18
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R24
@use: [C3, C9]
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
program_name: TEXT | Program name, eg TCGA or TARGET
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform used to generate data (null, Illumina)
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads

## TCGA_VERSIONED.MIRNASEQ_HG38_GDC_R14
@use: [C23]
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-28
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc

## TCGA_VERSIONED.CLINICAL_GDC_R25
@use: [C1, C10, C20, C24]
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
primary_site: TEXT | The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__ann_arbor_extranodal_involvement: TEXT | Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).

## TCGA_VERSIONED.DNA_METHYLATION_CHR2_HG38_GDC_2017_01
@use: [C13]
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba23
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba30
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-15

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R27
@use: [C3, C9]
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
platform: TEXT | Platform used to generate data (null, Illumina)
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
program_name: TEXT | Program name, eg TCGA or TARGET
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.

## TCGA_VERSIONED.CLINICAL_DIAGNOSES_TREATMENTS_GDC_R24
@use: [C26, C34]
diag__treat__treatment_or_therapy: TEXT | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG19_GDC_R36
@use: [C3, C9]
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
program_name: TEXT | Program name, eg TCGA or TARGET
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
platform: TEXT | Platform used to generate data (null, Illumina)
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.

## TCGA_VERSIONED.MIRNASEQ_ISOFORM_HG38_GDC_R28
@use: [C23, C29]
primary_site: TEXT | Anatomical site of the cancer under investigation or review
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba13
sample_barcode: TEXT | TARGET sample barcode, eg TARGET-20-PASWAT-09A
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
sample_type_name: TEXT | The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc
case_barcode: TEXT | Original TARGET case barcode, eg TARGET-20-PASCGR
aliquot_barcode: TEXT | TARGET aliquot barcode, eg TARGET-20-PAJLIP-01A-01R
strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
case_gdc_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode)  --  this can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba13
project_short_name: TEXT | Project name abbreviation, eg TARGET-AML

## TCGA_VERSIONED.CLINICAL_DIAGNOSES_TREATMENTS_GDC_R25
@use: [C26, C34]
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
diag__treat__treatment_or_therapy: TEXT | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received.

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG19_GDC_R14
@use: [C3, C9]
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_gdc_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode), eg 6d10d4ee-6331-4bba-93bc-a7b64cc0b22a  --  this can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/cases/6d10d4ee-6331-4bba-93bc-a7b64cc0b22a
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
disease_code: TEXT | A code representing the type of cancer. Values can be found at https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/TCGA-study-abbreviations; eg. OV, GBM, LUAD
platform: TEXT | Platform used to generate data; either IlluminaHiSeq (for close to 93% of samples) or IlluminaGA
program_name: TEXT | Program Name, always TCGA (The Cancer Genome Atlas) in this table.
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba19

## TCGA_VERSIONED.RNASEQ_HG38_GDC_R35
@use: [C27, C31]
sample_barcode: TEXT | sample barcode, eg. TCGA-12-1089-01A. One sample may have multiple sets of expression values corresponding to multiple aliquots; use GROUP BY appropriately in queries
